text,true_label,predicted_label
bitch u ugly then hoe,0,1
you ain't a real nigga without goal a to chase and a yellow bone bitch w/ some toes to paint,1,0
"if you can fuck my bitch, cause nigga i'm the shit i'll salute ya",1,0
""" i only punch real niggas in the face cause a pussy nigga is gonna punch me right back"" strong mush or shake..",1,0
they shot another monkey lmaooooooooooo,0,2
rt this image of peshmerga giving the heave-ho to an isis flag really brightened my friday. kick their sorry butts!!,2,0
""" usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team. &; he's a bitch",2,1
u 2 lost puppies dont know shit. leave them niggers alone u can learn something besides how they like,1,0
yeah man all my niggas dipped to the cars and left and i was in a barn getting chased by the ghetto bird,1,0
rt bad bitch give me head like lice .,1,0
""" these newly gay bitches don't kno how shit works""",1,0
really barnicle? oj or anthony weiner? mj is a clown show for and the rich. come on do you want good ratings?,1,2
"this nicca just typed to me...""you are very busy two!"" &;&; so, i'm busy twice? lmao",1,2
yeah you right and you know them mexicans bringing all they family that hoe finna be packed,0,1
same here. fucking hated that bitch.,1,0
"ma'am ...did you clear that tweet with the ? careful they may brand you ""race traitor"" for the nerve of thinking&;&;",2,0
rt fuuck jalens a slow bitch!,0,1
fosho my niggah il be over there just been real busy lately,1,0
lol fag,1,0
u see a super bad bitch in the club with a nigga that u just can't understand how he got her gg% chance he meet her at,1,0
rt unemployed niggas be having all the hoes &;&;,1,0
uh oh its g/ii what you gonna preach and cry about today faggot.,1,0
i was a fag back then,1,0
this guy is ioo% retarded.,1,0
rt just seen this little yellow nigga who lives in a pineapple..... thats some crazy shit.,1,0
you wanna hot body you wanna bugatti you wanna maserati you better rob a bank bitch,1,0
their gotta be a loaded lux vs murda mook e,2,0
"everybody fuckin everybody bitch everybody wit the shits, thats lifee",1,0
"""niggas be pressed for pussy, eeeeeen nothin""",1,0
"or you know, you could just go drink bleach bitch",1,2
what did i prove for you? that you're blissfully ignorant? group thinker? political chump and race traitor?,2,0
rt i can see moose rockin himself back n forth in a corner of n empty room with his faggot hair all in his face sayin 2 himse&;,1,0
fag lol,1,0
"rt man... i was trying to eat &; "" ""nigga you said it was bitches out here, i showed up for nothin!""",0,1
rt at least i say im crazy...some nigga gotta find out a bitch wild when she shooting at they ass &;,0,1
why niggas put heart eyes under everybody pictures? &; then it be them poo la la hoes.,1,0
wh obama won&;t name holder&;s replacement until you rubes have already cast your midterm ballots - hot air,2,1
rt yu hoes just love to pump fake bout y'all lives on these social networks,2,1
""" stop being scared to choke her during sex u bitch ass niggas. she&;ll like it."". says the guy who hits women out of bed. foh",1,0
i want to water pistol an african man,0,2
"which one .. corey or cory.. or both &;&;&; ""he's half retarded""&;",1,0
i'm sure would add this helpful parenthetical explanation if these were redneck peckerwood teabaggers.,0,2
jk i'd fuck a dog before i fuck you fish pussy,0,1
nips,2,0
text me with plans nigs,1,2
rt these bitch niggas couldn't live my cold lifestyle&;&;&;,1,0
aids fuck? smdh u punk bitch.,1,0
they told me to fuc wit bitches but never trust em they told me they my niggas but i never trust em,1,0
rt we live in a world full of unloyal hoes &amp; ugly niggas asking for hugs,1,0
rt maaan these hoes be photoshopping rt damn you suppose to be that nigga. how you get catfished,1,0
those guys are pussies &;&;,1,0
"eh bitch!? how about you worry about your own psychotic ass. looks like you need to ""be saved"" from being a noisy bitch &;&;&;",0,1
"dear god, forgive us for a moral slope of values. shacking is just a pretty word for perpetual fornication. let's...",2,0
kentucky fried cater to da white folk. no colored menu,2,0
